Job Title,Job Number,Job Grade,Job Agency,Application Due By,Link To Job
Dentist 2,78482,32,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=78482"">Dentist 2</a>]"
Dentist 1,78484,30,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=78484"">Dentist 1</a>]"
"Child Care Aide 1, Box CCA 1 - Rome",84957,09,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=84957"">Child Care Aide 1, Box CCA 1 - Rome</a>]"
Tax Information Aide (Call Center),87233,Hourly,"Taxation & Finance, State",01/31/23,"[<a href=""vacancyDetailsView.cfm?id=87233"">Tax Information Aide (Call Center)</a>]"
Nurse 2 NYS Veterans Home at Montrose,88232,16,"Health, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=88232"">Nurse 2 NYS Veterans Home at Montrose</a>]"
"Professional Engineer 1 (Mechanical), (Two Positions), Box OHE-855/65018, OHE-857/04418",90605,24,"Education Department, State",05/31/23,"[<a href=""vacancyDetailsView.cfm?id=90605"">Professional Engineer 1 (Mechanical), (Two Positions), Box OHE-855/65018, OHE-857/04418</a>]"
"Project Assistant, (Three positions) Box CFO-500/51522, 51523, 51524",91443,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=91443"">Project Assistant, (Three positions) Box CFO-500/51522, 51523, 51524</a>]"
"Project Assistant, Box EXEC-91/51567",91795,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=91795"">Project Assistant, Box EXEC-91/51567</a>]"
"Project Assistant, Box CFO-503/51551",91818,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=91818"">Project Assistant, Box CFO-503/51551</a>]"
"Project Coordinator, Box CFO-502/51552",91819,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=91819"">Project Coordinator, Box CFO-502/51552</a>]"
"Project Director, Box CFO-501/51553",91820,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=91820"">Project Director, Box CFO-501/51553</a>]"
"Instructor (Substitute), Continuous Recruitment, Box  Instructor Substitute - Batavia",92395,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92395"">Instructor (Substitute), Continuous Recruitment, Box  Instructor Substitute - Batavia</a>]"
"Child Care Aide 1 (Substitute), (Continuous Recruitment), CCA 1 Sub - Batavia",92396,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92396"">Child Care Aide 1 (Substitute), (Continuous Recruitment), CCA 1 Sub - Batavia</a>]"
"Licensed Practical Nurse (Substitute), Continuous Recruitment, Box LPN Sub - Batavia",92522,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92522"">Licensed Practical Nurse (Substitute), Continuous Recruitment, Box LPN Sub - Batavia</a>]"
"Special Education Assistant, (Continuous Recruitment), Box NYSSB - SEA",92603,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92603"">Special Education Assistant, (Continuous Recruitment), Box NYSSB - SEA</a>]"
"Instructor (Special Education/Teacher of the Deaf), Box ROM-330/00143",92761,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92761"">Instructor (Special Education/Teacher of the Deaf), Box ROM-330/00143</a>]"
"Instructor (Special Education/Teacher of the Deaf) Continuous Recruitment, Box NYSSD-Instructor (Spec. Ed./Teacher of the Deaf)",92824,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92824"">Instructor (Special Education/Teacher of the Deaf) Continuous Recruitment, Box NYSSD-Instructor (Spec. Ed./Teacher of the Deaf)</a>]"
"Instructor (Secondary Content) Continuous Recruitment, Box NYSSD-Instructor (Secondary Content)",92835,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92835"">Instructor (Secondary Content) Continuous Recruitment, Box NYSSD-Instructor (Secondary Content)</a>]"
"Child Care Aide 1 (Substitute), CCA 1 Sub - Rome",92838,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92838"">Child Care Aide 1 (Substitute), CCA 1 Sub - Rome</a>]"
"Instructor (Substitute), Continuous Recruitment, Box Instructor Substitute - Rome",92862,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92862"">Instructor (Substitute), Continuous Recruitment, Box Instructor Substitute - Rome</a>]"
"Nurse 1 (Substitute), Continuous Recruitment, Box Nurse 1 Sub - Batavia",93533,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=93533"">Nurse 1 (Substitute), Continuous Recruitment, Box Nurse 1 Sub - Batavia</a>]"
"Special Education Assistant, Continuous Recruitment, Box NYSSD-SEA",94248,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=94248"">Special Education Assistant, Continuous Recruitment, Box NYSSD-SEA</a>]"
Tax Information Aide (Call Center),94379,Hourly,"Taxation & Finance, State",01/31/23,"[<a href=""vacancyDetailsView.cfm?id=94379"">Tax Information Aide (Call Center)</a>]"
Renewable Energy Siting Positions – Various Levels & Specialties (ORES),94501,NS,"State, Department of ",08/22/22,"[<a href=""vacancyDetailsView.cfm?id=94501"">Renewable Energy Siting Positions – Various Levels &amp; Specialties (ORES)</a>]"
"Project Director, Box PIMS-530/51885",95487,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=95487"">Project Director, Box PIMS-530/51885</a>]"
"Project Coordinator, Box PIMS-531/51884",95496,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=95496"">Project Coordinator, Box PIMS-531/51884</a>]"
Psychiatrist 2 - (Richmond County) - Institute for Basic Research,95756,38,"People With Developmental Disabilities, Office for",12/15/22,"[<a href=""vacancyDetailsView.cfm?id=95756"">Psychiatrist 2 - (Richmond County) - Institute for Basic Research</a>]"
"Licensed Master Social Worker 2, Elmira Psychiatric Center, Finger Lakes ACT, P22069",96509,20,"Mental Health, Office of",08/04/22,"[<a href=""vacancyDetailsView.cfm?id=96509"">Licensed Master Social Worker 2, Elmira Psychiatric Center, Finger Lakes ACT, P22069</a>]"
"Trades Specialist, Electrician, Capital District Psychiatric Center, P22071",96512,12,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96512"">Trades Specialist, Electrician, Capital District Psychiatric Center, P22071</a>]"
"Licensed Psychologist, Rochester Psychiatric Center, P22083",96516,25,"Mental Health, Office of",12/29/22,"[<a href=""vacancyDetailsView.cfm?id=96516"">Licensed Psychologist, Rochester Psychiatric Center, P22083</a>]"
Service and Repair Mechanic Motor Equipment Region 1 ,96606,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96606"">Service and Repair Mechanic Motor Equipment Region 1 </a>]"
"Service and Repair Mechanic (Motor Equipment), Region 5",96641,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96641"">Service and Repair Mechanic (Motor Equipment), Region 5</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 7",96644,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96644"">Service and Repair Mechanic (Motor Equipment), Region 7</a>]"
Service and Repair Mechanic (Motor Equipment) - Region 10 Suffolk,96660,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96660"">Service and Repair Mechanic (Motor Equipment) - Region 10 Suffolk</a>]"
Service and Repair Mechanic (Motor Equipment) - Region 10 Nassau,96661,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96661"">Service and Repair Mechanic (Motor Equipment) - Region 10 Nassau</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 7",96670,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96670"">Service and Repair Mechanic (Motor Equipment), Region 7</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 7",96671,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96671"">Service and Repair Mechanic (Motor Equipment), Region 7</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 7",96673,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96673"">Service and Repair Mechanic (Motor Equipment), Region 7</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 7",96674,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96674"">Service and Repair Mechanic (Motor Equipment), Region 7</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 5",96676,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96676"">Service and Repair Mechanic (Motor Equipment), Region 5</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 5",96677,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96677"">Service and Repair Mechanic (Motor Equipment), Region 5</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Tompkins Co. Region 3,96679,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96679"">Service and Repair Mechanic (Mtr. Eq.)-Tompkins Co. Region 3</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 5",96680,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96680"">Service and Repair Mechanic (Motor Equipment), Region 5</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Seneca Region 3,96681,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96681"">Service and Repair Mechanic (Mtr. Eq.)-Seneca Region 3</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Onondaga County Region 3,96687,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96687"">Service and Repair Mechanic (Mtr. Eq.)-Onondaga County Region 3</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Cortland Region 3,96694,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96694"">Service and Repair Mechanic (Mtr. Eq.)-Cortland Region 3</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Oswego Region 3,96696,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96696"">Service and Repair Mechanic (Mtr. Eq.)-Oswego Region 3</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Cayuga County Region 3,96701,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96701"">Service and Repair Mechanic (Mtr. Eq.)-Cayuga County Region 3</a>]"
"Secure Care Treatment Aide 1, Capital District Psychiatric Center, P22106",96712,11,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96712"">Secure Care Treatment Aide 1, Capital District Psychiatric Center, P22106</a>]"
"Nurse Administrator 1 Psychiatric, Capital District Psychiatric Center, P22107",96713,20,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96713"">Nurse Administrator 1 Psychiatric, Capital District Psychiatric Center, P22107</a>]"
"Licensed Master Social Worker 2, Capital District Psychiatric Center, P22110",96719,20,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96719"">Licensed Master Social Worker 2, Capital District Psychiatric Center, P22110</a>]"
"Licensed Master Social Worker 1, Capital District Psychiatric Center, P22112",96722,18,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96722"">Licensed Master Social Worker 1, Capital District Psychiatric Center, P22112</a>]"
"Trades Specialist, Plumber/ Steamfitter, Capital District Psychiatric Center, P22113",96724,12,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96724"">Trades Specialist, Plumber/ Steamfitter, Capital District Psychiatric Center, P22113</a>]"
"Community Mental Health Nurse, Capital District Psychiatric Center, P22115",96727,19,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96727"">Community Mental Health Nurse, Capital District Psychiatric Center, P22115</a>]"
Service and Repair Mechanic (Motor Equipment) Region 2 - Oneida County,96748,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96748"">Service and Repair Mechanic (Motor Equipment) Region 2 - Oneida County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 2 - Madison County,96753,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96753"">Service and Repair Mechanic (Motor Equipment) Region 2 - Madison County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 2 - Herkimer County,96755,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96755"">Service and Repair Mechanic (Motor Equipment) Region 2 - Herkimer County</a>]"
