Job Title,Job Number,Job Grade,Job Agency,Application Due By,Link To Job
Dentist 1,78484,30,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=78484"">Dentist 1</a>]"
Tax Information Aide (Call Center),87233,Hourly,"Taxation & Finance, State",01/31/23,"[<a href=""vacancyDetailsView.cfm?id=87233"">Tax Information Aide (Call Center)</a>]"
"Professional Engineer 1 (Mechanical), (Two Positions), Box OHE-855/65018, OHE-857/04418",90605,24,"Education Department, State",05/31/23,"[<a href=""vacancyDetailsView.cfm?id=90605"">Professional Engineer 1 (Mechanical), (Two Positions), Box OHE-855/65018, OHE-857/04418</a>]"
"Project Assistant, Box EXEC-91/51567",91795,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=91795"">Project Assistant, Box EXEC-91/51567</a>]"
"Project Coordinator, Box CFO-502/51552",91819,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=91819"">Project Coordinator, Box CFO-502/51552</a>]"
"Instructor (Substitute), Continuous Recruitment, Box  Instructor Substitute - Batavia",92395,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92395"">Instructor (Substitute), Continuous Recruitment, Box  Instructor Substitute - Batavia</a>]"
"Licensed Practical Nurse (Substitute), Continuous Recruitment, Box LPN Sub - Batavia",92522,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92522"">Licensed Practical Nurse (Substitute), Continuous Recruitment, Box LPN Sub - Batavia</a>]"
"Instructor (Special Education/Teacher of the Deaf), Box ROM-330/00143",92761,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92761"">Instructor (Special Education/Teacher of the Deaf), Box ROM-330/00143</a>]"
"Instructor (Secondary Content) Continuous Recruitment, Box NYSSD-Instructor (Secondary Content)",92835,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92835"">Instructor (Secondary Content) Continuous Recruitment, Box NYSSD-Instructor (Secondary Content)</a>]"
"Instructor (Substitute), Continuous Recruitment, Box Instructor Substitute - Rome",92862,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=92862"">Instructor (Substitute), Continuous Recruitment, Box Instructor Substitute - Rome</a>]"
"Special Education Assistant, Continuous Recruitment, Box NYSSD-SEA",94248,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=94248"">Special Education Assistant, Continuous Recruitment, Box NYSSD-SEA</a>]"
Renewable Energy Siting Positions – Various Levels & Specialties (ORES),94501,NS,"State, Department of ",08/22/22,"[<a href=""vacancyDetailsView.cfm?id=94501"">Renewable Energy Siting Positions – Various Levels &amp; Specialties (ORES)</a>]"
"Project Coordinator, Box PIMS-531/51884",95496,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=95496"">Project Coordinator, Box PIMS-531/51884</a>]"
"Licensed Master Social Worker 2, Elmira Psychiatric Center, Finger Lakes ACT, P22069",96509,20,"Mental Health, Office of",08/04/22,"[<a href=""vacancyDetailsView.cfm?id=96509"">Licensed Master Social Worker 2, Elmira Psychiatric Center, Finger Lakes ACT, P22069</a>]"
"Licensed Psychologist, Rochester Psychiatric Center, P22083",96516,25,"Mental Health, Office of",12/29/22,"[<a href=""vacancyDetailsView.cfm?id=96516"">Licensed Psychologist, Rochester Psychiatric Center, P22083</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 5",96641,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96641"">Service and Repair Mechanic (Motor Equipment), Region 5</a>]"
Service and Repair Mechanic (Motor Equipment) - Region 10 Suffolk,96660,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96660"">Service and Repair Mechanic (Motor Equipment) - Region 10 Suffolk</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 7",96670,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96670"">Service and Repair Mechanic (Motor Equipment), Region 7</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 7",96673,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96673"">Service and Repair Mechanic (Motor Equipment), Region 7</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 5",96676,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96676"">Service and Repair Mechanic (Motor Equipment), Region 5</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Tompkins Co. Region 3,96679,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96679"">Service and Repair Mechanic (Mtr. Eq.)-Tompkins Co. Region 3</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Seneca Region 3,96681,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96681"">Service and Repair Mechanic (Mtr. Eq.)-Seneca Region 3</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Cortland Region 3,96694,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96694"">Service and Repair Mechanic (Mtr. Eq.)-Cortland Region 3</a>]"
Service and Repair Mechanic (Mtr. Eq.)-Cayuga County Region 3,96701,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96701"">Service and Repair Mechanic (Mtr. Eq.)-Cayuga County Region 3</a>]"
"Nurse Administrator 1 Psychiatric, Capital District Psychiatric Center, P22107",96713,20,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96713"">Nurse Administrator 1 Psychiatric, Capital District Psychiatric Center, P22107</a>]"
"Licensed Master Social Worker 1, Capital District Psychiatric Center, P22112",96722,18,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96722"">Licensed Master Social Worker 1, Capital District Psychiatric Center, P22112</a>]"
"Community Mental Health Nurse, Capital District Psychiatric Center, P22115",96727,19,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96727"">Community Mental Health Nurse, Capital District Psychiatric Center, P22115</a>]"
Service and Repair Mechanic (Motor Equipment) Region 2 - Madison County,96753,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96753"">Service and Repair Mechanic (Motor Equipment) Region 2 - Madison County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 2 - Hamilton County,96757,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96757"">Service and Repair Mechanic (Motor Equipment) Region 2 - Hamilton County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 2 - Montgomery County,96768,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96768"">Service and Repair Mechanic (Motor Equipment) Region 2 - Montgomery County</a>]"
"Senior Occupational Therapist, Capital District Psychiatric Center, P22091",96825,18,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=96825"">Senior Occupational Therapist, Capital District Psychiatric Center, P22091</a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Livingston County,96901,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96901"">Service and Repair Mechanic (Motor Equipment) Region 4- Livingston County</a>]"
Service and Repair Mechanic Motor Equipment Region 8 ,96904,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96904"">Service and Repair Mechanic Motor Equipment Region 8 </a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Genesee County,96909,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96909"">Service and Repair Mechanic (Motor Equipment) Region 4- Genesee County</a>]"
Service and Repair Mechanic (Motor Equipment) Region 4- Wyoming County,96913,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96913"">Service and Repair Mechanic (Motor Equipment) Region 4- Wyoming County</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 6",96925,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96925"">Service and Repair Mechanic (Motor Equipment), Region 6</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 6",96927,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=96927"">Service and Repair Mechanic (Motor Equipment), Region 6</a>]"
"Nurse 3 Psychiatric, St. Lawrence Psychiatric Center, P22123",97061,20,"Mental Health, Office of",12/14/22,"[<a href=""vacancyDetailsView.cfm?id=97061"">Nurse 3 Psychiatric, St. Lawrence Psychiatric Center, P22123</a>]"
"Senior Architect, Box OHE-856/04402",97248,24,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=97248"">Senior Architect, Box OHE-856/04402</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center – Mid-State Satellite Unit, P22172",97494,16,"Mental Health, Office of",08/29/22,"[<a href=""vacancyDetailsView.cfm?id=97494"">Nurse 2 Psychiatric, Central New York Psychiatric Center – Mid-State Satellite Unit, P22172</a>]"
"Licensed Master Social Worker 2 Spanish Language, Washington Heights Psychiatric Unit, P22177",97538,20,"Mental Health, Office of",08/30/22,"[<a href=""vacancyDetailsView.cfm?id=97538"">Licensed Master Social Worker 2 Spanish Language, Washington Heights Psychiatric Unit, P22177</a>]"
"Licensed Master Social Worker 1, Central New York Psychiatric Center, Statewide Satellite Units, P22220",97914,18,"Mental Health, Office of",12/14/22,"[<a href=""vacancyDetailsView.cfm?id=97914"">Licensed Master Social Worker 1, Central New York Psychiatric Center, Statewide Satellite Units, P22220</a>]"
"Nurse Administrator 1 Psychiatric, Rockland Children's Psychiatric Center, P22234",97990,20,"Mental Health, Office of",08/15/22,"[<a href=""vacancyDetailsView.cfm?id=97990"">Nurse Administrator 1 Psychiatric, Rockland Children's Psychiatric Center, P22234</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98135,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98135"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98138,12,"Transportation, Department of ",12/21/22,"[<a href=""vacancyDetailsView.cfm?id=98138"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98140,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98140"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Service and Repair Mechanic (Motor Equipment), Region 9",98142,12,"Transportation, Department of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98142"">Service and Repair Mechanic (Motor Equipment), Region 9</a>]"
"Associate Psychologist, Central New York Psychiatric Center, Statewide Satellite Units P22243",98148,23,"Mental Health, Office of",12/14/22,"[<a href=""vacancyDetailsView.cfm?id=98148"">Associate Psychologist, Central New York Psychiatric Center, Statewide Satellite Units P22243</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center - Bedford Hills Satellite Unit, P22262",98236,16,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=98236"">Nurse 2 Psychiatric, Central New York Psychiatric Center - Bedford Hills Satellite Unit, P22262</a>]"
"Project Assistant, Box PIMS-544/51593",98312,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=98312"">Project Assistant, Box PIMS-544/51593</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center - Great Meadow Satellite Unit, P22271",98468,16,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=98468"">Nurse 2 Psychiatric, Central New York Psychiatric Center - Great Meadow Satellite Unit, P22271</a>]"
Health Care Surveyor 2 (Nursing) - Continuous Recruitment ,98515,19,"Health, Department of ",08/30/22,"[<a href=""vacancyDetailsView.cfm?id=98515"">Health Care Surveyor 2 (Nursing) - Continuous Recruitment </a>]"
"Dietitian 2, Mid-Hudson Forensic Psychiatric Center, P22295",98576,18,"Mental Health, Office of",12/27/22,"[<a href=""vacancyDetailsView.cfm?id=98576"">Dietitian 2, Mid-Hudson Forensic Psychiatric Center, P22295</a>]"
"Wastewater Treatment Plant Operator 2, Mid-Hudson Forensic Psychiatric Center, P22298",98620,10,"Mental Health, Office of",12/27/22,"[<a href=""vacancyDetailsView.cfm?id=98620"">Wastewater Treatment Plant Operator 2, Mid-Hudson Forensic Psychiatric Center, P22298</a>]"
"Project Assistant, (Two positions), Box OHE-912/51557 and 51558",98651,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=98651"">Project Assistant, (Two positions), Box OHE-912/51557 and 51558</a>]"
Community Mental Health Nurse - Broome,98661,19,"People With Developmental Disabilities, Office for",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=98661"">Community Mental Health Nurse - Broome</a>]"
"Project Coordinator, Box OHE-911/51559",98834,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=98834"">Project Coordinator, Box OHE-911/51559</a>]"
"Nurse 2 Psychiatric, Central New York Psychiatric Center - Albion Satellite Unit, P22346",99202,16,"Mental Health, Office of",08/25/22,"[<a href=""vacancyDetailsView.cfm?id=99202"">Nurse 2 Psychiatric, Central New York Psychiatric Center - Albion Satellite Unit, P22346</a>]"
"Health Information Management Technician 1, St. Lawrence Psychiatric Center, P22360",99296,13,"Mental Health, Office of",08/26/22,"[<a href=""vacancyDetailsView.cfm?id=99296"">Health Information Management Technician 1, St. Lawrence Psychiatric Center, P22360</a>]"
"Psychiatrist 2, Elmira Psychiatric Center, Ithaca ACT, P22375",99389,38,"Mental Health, Office of",08/11/22,"[<a href=""vacancyDetailsView.cfm?id=99389"">Psychiatrist 2, Elmira Psychiatric Center, Ithaca ACT, P22375</a>]"
"Dentist 1, St. Lawrence Psychiatric Center, P22379",99409,30,"Mental Health, Office of",11/09/22,"[<a href=""vacancyDetailsView.cfm?id=99409"">Dentist 1, St. Lawrence Psychiatric Center, P22379</a>]"
"Food Service Worker 1, South Beach Psychiatric Center, Food Service, P22389",99552,05,"Mental Health, Office of",08/18/22,"[<a href=""vacancyDetailsView.cfm?id=99552"">Food Service Worker 1, South Beach Psychiatric Center, Food Service, P22389</a>]"
"Executive Coordinator, Box P12-2154/21142",99630,NS,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=99630"">Executive Coordinator, Box P12-2154/21142</a>]"
"Nurse Practitioner (Psychiatry), South Beach Psychiatric Center, P22415",99966,24,"Mental Health, Office of",08/24/22,"[<a href=""vacancyDetailsView.cfm?id=99966"">Nurse Practitioner (Psychiatry), South Beach Psychiatric Center, P22415</a>]"
"Project Coordinator, Box OHE-910/51574",100045,NS,"Education Department, State",06/30/23,"[<a href=""vacancyDetailsView.cfm?id=100045"">Project Coordinator, Box OHE-910/51574</a>]"
"Pharmacy Aide, Capital District Psychiatric Center, P22459",100232,07,"Mental Health, Office of",09/30/22,"[<a href=""vacancyDetailsView.cfm?id=100232"">Pharmacy Aide, Capital District Psychiatric Center, P22459</a>]"
C220035 - Trades Specialist (Plumber Steamfitter) - Campus Operations,100282,12,University at Buffalo,09/03/22,"[<a href=""vacancyDetailsView.cfm?id=100282"">C220035 - Trades Specialist (Plumber Steamfitter) - Campus Operations</a>]"
"Licensed Master Social Worker 2, Secure Treatment and Rehabilitation Center, STARC, Oakview, P22466",100329,20,"Mental Health, Office of",09/22/22,"[<a href=""vacancyDetailsView.cfm?id=100329"">Licensed Master Social Worker 2, Secure Treatment and Rehabilitation Center, STARC, Oakview, P22466</a>]"
Disaster Assistance Representative,100374,NS,"Homeland Security and Emergency Services, Division of ",12/31/22,"[<a href=""vacancyDetailsView.cfm?id=100374"">Disaster Assistance Representative</a>]"
Nurse 2,100471,16,"Corrections and Community Supervision, Department of ",09/14/22,"[<a href=""vacancyDetailsView.cfm?id=100471"">Nurse 2</a>]"
Nurse 2     RN2          EOA 22-047,100480,16,"People With Developmental Disabilities, Office for",09/10/22,"[<a href=""vacancyDetailsView.cfm?id=100480"">Nurse 2     RN2          EOA 22-047</a>]"
"Licensed Master Social Worker 2, Elmira Psychiatric Center, P22474",100543,20,"Mental Health, Office of",09/05/22,"[<a href=""vacancyDetailsView.cfm?id=100543"">Licensed Master Social Worker 2, Elmira Psychiatric Center, P22474</a>]"
"Licensed Psychologist, New York City Children's Center, Part-Time - Full-time,   P22478",100559,25,"Mental Health, Office of",12/30/22,"[<a href=""vacancyDetailsView.cfm?id=100559"">Licensed Psychologist, New York City Children's Center, Part-Time - Full-time,   P22478</a>]"
"Psychiatrist 2, New York City Children's Center, Bronx Campus, Part-Time, P22480",100570,38,"Mental Health, Office of",12/30/22,"[<a href=""vacancyDetailsView.cfm?id=100570"">Psychiatrist 2, New York City Children's Center, Bronx Campus, Part-Time, P22480</a>]"
"Nurse 2, Continuous Recruitment, Box ROM-315/00201",100679,16,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=100679"">Nurse 2, Continuous Recruitment, Box ROM-315/00201</a>]"
"Print Equipment Operator 2, Box PIMS-556/01368",100729,09,"Education Department, State",12/02/23,"[<a href=""vacancyDetailsView.cfm?id=100729"">Print Equipment Operator 2, Box PIMS-556/01368</a>]"
"Cleaner,  Secure Treament and Rehabilitation Center, STARC, Oakview, Marcy, Cleaner, P22487",100732,05,"Mental Health, Office of",08/03/22,"[<a href=""vacancyDetailsView.cfm?id=100732"">Cleaner,  Secure Treament and Rehabilitation Center, STARC, Oakview, Marcy, Cleaner, P22487</a>]"
