Job Title,Job Number,Job Grade,Job Agency,Application Due By
Dentist 2,78482,32,"People With Developmental Disabilities, Office for",12/31/22
"Child Care Aide 1, Box CCA 1 - Rome",84957,09,"Education Department, State",12/02/23
Nurse 2 NYS Veterans Home at Montrose,88232,16,"Health, Department of ",12/31/22
"Project Assistant, (Three positions) Box CFO-500/51522, 51523, 51524",91443,NS,"Education Department, State",12/02/23
"Project Assistant, Box CFO-503/51551",91818,NS,"Education Department, State",12/02/23
"Project Director, Box CFO-501/51553",91820,NS,"Education Department, State",12/02/23
"Child Care Aide 1 (Substitute), (Continuous Recruitment), CCA 1 Sub - Batavia",92396,NS,"Education Department, State",12/02/23
"Special Education Assistant, (Continuous Recruitment), Box NYSSB - SEA",92603,NS,"Education Department, State",12/02/23
"Instructor (Special Education/Teacher of the Deaf) Continuous Recruitment, Box NYSSD-Instructor (Spec. Ed./Teacher of the Deaf)",92824,NS,"Education Department, State",12/02/23
"Child Care Aide 1 (Substitute), CCA 1 Sub - Rome",92838,NS,"Education Department, State",12/02/23
"Nurse 1 (Substitute), Continuous Recruitment, Box Nurse 1 Sub - Batavia",93533,NS,"Education Department, State",12/02/23
Tax Information Aide (Call Center),94379,Hourly,"Taxation & Finance, State",01/31/23
"Project Director, Box PIMS-530/51885",95487,NS,"Education Department, State",12/02/23
Psychiatrist 2 - (Richmond County) - Institute for Basic Research,95756,38,"People With Developmental Disabilities, Office for",12/15/22
"Trades Specialist, Electrician, Capital District Psychiatric Center, P22071",96512,12,"Mental Health, Office of",09/30/22
Service and Repair Mechanic Motor Equipment Region 1 ,96606,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 7",96644,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic (Motor Equipment) - Region 10 Nassau,96661,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 7",96671,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 7",96674,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 5",96677,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 5",96680,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic (Mtr. Eq.)-Onondaga County Region 3,96687,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic (Mtr. Eq.)-Oswego Region 3,96696,12,"Transportation, Department of ",12/31/22
"Secure Care Treatment Aide 1, Capital District Psychiatric Center, P22106",96712,11,"Mental Health, Office of",09/30/22
"Licensed Master Social Worker 2, Capital District Psychiatric Center, P22110",96719,20,"Mental Health, Office of",09/30/22
"Trades Specialist, Plumber/ Steamfitter, Capital District Psychiatric Center, P22113",96724,12,"Mental Health, Office of",09/30/22
Service and Repair Mechanic (Motor Equipment) Region 2 - Oneida County,96748,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic (Motor Equipment) Region 2 - Herkimer County,96755,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic (Motor Equipment) Region 2 - Fulton County,96759,12,"Transportation, Department of ",12/31/22
"Senior Licensed Practical Nurse 1/Senior Licensed Practical Nurse 2, Capital District Psychiatric Center, P22089",96819,13,"Mental Health, Office of",09/30/22
Service and Repair Mechanic (Motor Equipment) Region 4- Monroe County,96900,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic (Motor Equipment) Region 4- Wayne County,96903,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic (Motor Equipment) Region 4- Ontario County,96906,12,"Transportation, Department of ",12/31/22
Service and Repair Mechanic (Motor Equipment) Region 4- Orleans County,96911,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 6",96924,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 6",96926,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 6",96928,12,"Transportation, Department of ",12/31/22
"Licensed Psychologist; St. Lawrence Psychiatric Center, P22128",97095,25,"Mental Health, Office of",12/29/22
"Motor Vehicle Operator, Box ROM-344/00550",97492,07,"Education Department, State",12/02/23
"Senior Occupational Therapist, Washington Psychiatric Heights Unit, P22176",97534,18,"Mental Health, Office of",08/30/22
"Nurse 3 Psychiatric, Elmira Psychiatric Center, P22195",97611,20,"Mental Health, Office of",08/16/22
Medical Assistant,97931,08,"Civil Service, Department of ",08/31/22
"Assistant in Education Improvement Services, Box OHE-875/05052",98023,22,"Education Department, State",12/02/23
"Service and Repair Mechanic (Motor Equipment), Region 9",98136,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 9",98139,12,"Transportation, Department of ",12/31/22
"Service and Repair Mechanic (Motor Equipment), Region 9",98141,12,"Transportation, Department of ",12/31/22
"Licensed Psychologist, Central New York Psychiatric Center – State Wide Satellite Units, P22242",98146,25,"Mental Health, Office of",12/14/22
"Psychologist 2, Central New York Psychiatric Center – State Wide Satellite Unit, P22244",98152,23,"Mental Health, Office of",12/14/22
"Project Assistant, Box PIMS-545/51517",98306,NS,"Education Department, State",12/02/23
Liquid Fuel Systems Maintenance Technician,98344,14,"Military and Naval Affairs, Division of ",08/31/22
Hospital Nursing Service Consultant - Continuous Recruitment ,98514,22,"Health, Department of ",08/31/22
"Nurse 3 Psychiatric, Central New York Psychiatric Center – Marcy - P22292",98569,20,"Mental Health, Office of",08/25/22
"Project Assistant, Box OHE-915/51548",98615,NS,"Education Department, State",12/02/23
Nurse 2,98631,16,"Corrections and Community Supervision, Department of ",12/31/22
Nurse 2 - Broome,98660,16,"People With Developmental Disabilities, Office for",12/31/22
"Nurse Practitioner Psychiatry, Elmira Psychiatric Center, Assertive Community Treatment, Geneva, P22308",98777,24,"Mental Health, Office of",08/04/22
"Nurse 2 Psychiatric, Central New York Psychiatric Center – Clinton Satellite Unit, P22326",98875,16,"Mental Health, Office of",08/25/22
"Teacher 2 / Teacher 3 / Teacher 4 - Substitute Temporary, St. Lawrence Psychiatric Center, Children and Youth,  P22359",99277,NS,"Mental Health, Office of",11/18/22
"Director of Charter Schools, (Albany or Brooklyn Location), Box OHE-892/21131",99355,664,"Education Department, State",12/02/23
"Dentist 2, St. Lawrence Psychiatric Center, P22380",99408,32,"Mental Health, Office of",11/09/22
"Cleaner, South Beach Psychiatric Center, Cleaner, P22388",99538,05,"Mental Health, Office of",08/18/22
"C220029 - Service & Repair Assistant (HVAC-R), Facilities - Campus Operations",99608,09,University at Buffalo,03/01/23
"Project Coordinator, Box OHE-917/51578",99857,NS,"Education Department, State",12/02/23
"Plant Utilities Assistant, New York State Psychiatric Institute, P22422",100034,09,"Mental Health, Office of",08/30/22
General Mechanic-REPOST,100092,12,"Military and Naval Affairs, Division of ",08/31/22
C220020 - Facility Operations Assistant 1 (Utilities) - Campus Operations,100278,06,University at Buffalo,09/01/22
"Licensed Master Social Worker 1, Secure Treatment and Rehabilitations Center, STARC, Bridgeview, P22464",100327,18,"Mental Health, Office of",09/22/22
Disaster Preparedness Assistant,100364,12,"Homeland Security and Emergency Services, Division of ",12/31/22
Clinical Physician 1 or 2 Per Diem,100456,36,"Corrections and Community Supervision, Department of ",09/14/22
Nurse 2,100474,16,"Corrections and Community Supervision, Department of ",09/14/22
"Recreation Therapist - Music, Creedmoor Psychiatric Center, P22473",100520,14,"Mental Health, Office of",08/09/22
"Licensed Master Social Worker 2, Mid-Hudson Forensic Psychiatric Center, P22476",100552,20,"Mental Health, Office of",08/26/22
